number,name,votes,electronic,abroad,mandate,district,party
735,Daniel Mereäär,442,148,4,#N/A,5,Eesti Konservatiivne Rahvaerakond
352,Mattias Turovski,441,255,1,#N/A,1,Erakond Eestimaa Rohelised
756,Enn Sarv,441,147,3,#N/A,8,Eesti Konservatiivne Rahvaerakond
378,Kaspar Kurve,438,276,3,#N/A,3,Erakond Eestimaa Rohelised
757,Heli Koit,436,163,0,#N/A,8,Eesti Konservatiivne Rahvaerakond
1099,Kalle Muuli,431,233,0,#N/A,4,Isamaa Erakond
197,Kuido Nõmm,430,231,2,#N/A,10,Eesti Vabaerakond
258,Eero Merilind,429,289,3,#N/A,3,Eesti Reformierakond
596,Madis Veskimägi,429,155,0,#N/A,12,Sotsiaaldemokraatlik Erakond
339,Ülo Needo,428,190,0,#N/A,11,Eesti Reformierakond
128,Ain Lutsepp,427,224,1,#N/A,3,Eesti Vabaerakond
981,Antti Leigri,427,159,0,#N/A,5,Eesti Keskerakond
601,Mihkel Kangur,423,238,1,#N/A,1,Elurikkuse Erakond
946,Jüri Kuuskemaa,423,135,0,#N/A,2,Eesti Keskerakond
1128,Einar Vallbaum,423,166,1,#N/A,6,Isamaa Erakond
950,Märt Sults,422,87,1,#N/A,2,Eesti Keskerakond
308,Tõnu Juul,422,166,1,#N/A,8,Eesti Reformierakond
555,Siret Pihelgas,421,199,1,#N/A,8,Sotsiaaldemokraatlik Erakond
345,Toomas Rõhu,421,212,0,#N/A,12,Eesti Reformierakond
714,Paul Puustusmaa,419,207,1,Kompensatsioonimandaat,4,Eesti Konservatiivne Rahvaerakond
479,Marianne Mikko,419,257,4,#N/A,1,Sotsiaaldemokraatlik Erakond
300,Andrea Eiche,416,182,0,#N/A,7,Eesti Reformierakond
658,Rainer Kuuba,416,224,0,#N/A,11,Elurikkuse Erakond
1015,Peep Põdder,414,102,0,#N/A,9,Eesti Keskerakond
1089,Elle Kull,413,217,0,#N/A,3,Isamaa Erakond
306,Madis Timpson,413,221,1,#N/A,8,Eesti Reformierakond
793,Helle Kullerkupp,410,117,3,#N/A,12,Eesti Konservatiivne Rahvaerakond
1113,Tanel Ots,409,207,0,#N/A,4,Isamaa Erakond
505,Mart Meri,407,255,1,#N/A,3,Sotsiaaldemokraatlik Erakond
1103,Arvi Karotam,407,172,1,#N/A,4,Isamaa Erakond
1189,Harry Raudvere,406,128,0,#N/A,5,Üksikkandidaadid
1017,Max Kaur,404,81,0,#N/A,9,Eesti Keskerakond
586,Inara Luigas,404,195,1,#N/A,11,Sotsiaaldemokraatlik Erakond
1127,Tõnis Pruler,401,198,1,#N/A,6,Isamaa Erakond
583,Sirje Tobreluts,401,147,3,#N/A,11,Sotsiaaldemokraatlik Erakond
1102,Andres Laisk,396,206,1,#N/A,4,Isamaa Erakond
990,Jelena Fjodorova,396,96,1,#N/A,6,Eesti Keskerakond
812,Grigore-Kalev Stoicescu,395,275,2,#N/A,2,Erakond Eesti 200
838,Monika Salu,394,235,2,#N/A,4,Erakond Eesti 200
284,Heiki Kranich,390,273,5,Kompensatsioonimandaat,5,Eesti Reformierakond
329,Airis Meier,389,276,3,#N/A,10,Eesti Reformierakond
319,Illari Lään,388,255,1,#N/A,9,Eesti Reformierakond
877,Ruslan Trochynskyi,384,207,1,#N/A,8,Erakond Eesti 200
363,Aleksander Laane,383,213,1,#N/A,2,Erakond Eestimaa Rohelised
1023,Vladimir Šokman,383,59,2,#N/A,10,Eesti Keskerakond
1130,Tiit Salvan,382,203,2,#N/A,7,Isamaa Erakond
257,Õnne Pillak,379,285,1,#N/A,3,Eesti Reformierakond
1129,Siim Valmar Kiisler,379,187,0,#N/A,7,Isamaa Erakond
340,Anti Haugas,379,234,0,#N/A,11,Eesti Reformierakond
743,Kersti Kracht,373,144,1,#N/A,7,Eesti Konservatiivne Rahvaerakond
1117,Kaido Kaasik,372,172,1,#N/A,5,Isamaa Erakond
350,Jüri Lebedev,372,217,3,#N/A,12,Eesti Reformierakond
490,Barbi-Jenny Pilvre-Storgard,371,250,3,#N/A,2,Sotsiaaldemokraatlik Erakond
310,Sulev Kannimäe,371,177,0,#N/A,8,Eesti Reformierakond
547,Maksim Iljin,369,91,0,#N/A,7,Sotsiaaldemokraatlik Erakond
702,Kadri Vilba,367,131,2,#N/A,3,Eesti Konservatiivne Rahvaerakond
733,Toomas Vallimäe,367,139,2,#N/A,5,Eesti Konservatiivne Rahvaerakond
565,Marika Saar,367,212,2,#N/A,9,Sotsiaaldemokraatlik Erakond
1181,Kuno Erkmann,367,181,0,#N/A,12,Isamaa Erakond
155,Tiina Kangro,366,193,0,#N/A,5,Eesti Vabaerakond
609,Toomas Trapido,363,217,3,#N/A,2,Elurikkuse Erakond
960,Merike Martinson,363,89,1,#N/A,3,Eesti Keskerakond
447,Marko Kaasik,362,173,7,#N/A,10,Erakond Eestimaa Rohelised
593,Kadri-Aija Viik,358,161,3,#N/A,12,Sotsiaaldemokraatlik Erakond
491,Anastassia Kovalenko,357,145,1,#N/A,2,Sotsiaaldemokraatlik Erakond
837,Ando Kiviberg,356,184,2,#N/A,4,Erakond Eesti 200
